Level1,Level2,Level3,Type,Name,URL
MEDICAL,PG,DIPLOMA,FOLDER,,http://www2.kuhs.ac.in/kuhs_new/kuhs_new/index.php?id=14&folder=MEDICAL
MEDICAL,PG,DIPLOMA,FOLDER,,http://www2.kuhs.ac.in/kuhs_new/kuhs_new/index.php?id=14&folder=MEDICAL/PG
MEDICAL,PG,DIPLOMA,FOLDER,,http://www2.kuhs.ac.in/kuhs_new/kuhs_new/index.php?id=14&folder=MEDICAL/PG/DIPLOMA
MEDICAL,PG,DIPLOMA,FOLDER,2022_NOVEMBER,http://www2.kuhs.ac.in/kuhs_new/index.php?id=14&folder=MEDICAL/PG/DIPLOMA/2022_NOVEMBER
MEDICAL,PG,DIPLOMA,FOLDER,2023_JULY,http://www2.kuhs.ac.in/kuhs_new/index.php?id=14&folder=MEDICAL/PG/DIPLOMA/2023_JULY
MEDICAL,PG,DIPLOMA,FOLDER,2024_JUNE,http://www2.kuhs.ac.in/kuhs_new/index.php?id=14&folder=MEDICAL/PG/DIPLOMA/2024_JUNE
MEDICAL,PG,DIPLOMA,FOLDER,2025_JANUARY,http://www2.kuhs.ac.in/kuhs_new/index.php?id=14&folder=MEDICAL/PG/DIPLOMA/2025_JANUARY
MEDICAL,PG,DIPLOMA,FOLDER,DA,http://www2.kuhs.ac.in/kuhs_new/index.php?id=14&folder=MEDICAL/PG/DIPLOMA/DA
MEDICAL,PG,DIPLOMA,FOLDER,DCH,http://www2.kuhs.ac.in/kuhs_new/index.php?id=14&folder=MEDICAL/PG/DIPLOMA/DCH
MEDICAL,PG,DIPLOMA,FOLDER,DCP,http://www2.kuhs.ac.in/kuhs_new/index.php?id=14&folder=MEDICAL/PG/DIPLOMA/DCP
MEDICAL,PG,DIPLOMA,FOLDER,DDVL,http://www2.kuhs.ac.in/kuhs_new/index.php?id=14&folder=MEDICAL/PG/DIPLOMA/DDVL
MEDICAL,PG,DIPLOMA,FOLDER,DGO,http://www2.kuhs.ac.in/kuhs_new/index.php?id=14&folder=MEDICAL/PG/DIPLOMA/DGO
MEDICAL,PG,DIPLOMA,FOLDER,DLO,http://www2.kuhs.ac.in/kuhs_new/index.php?id=14&folder=MEDICAL/PG/DIPLOMA/DLO
MEDICAL,PG,DIPLOMA,FOLDER,DMRD,http://www2.kuhs.ac.in/kuhs_new/index.php?id=14&folder=MEDICAL/PG/DIPLOMA/DMRD
MEDICAL,PG,DIPLOMA,FOLDER,DMRT,http://www2.kuhs.ac.in/kuhs_new/index.php?id=14&folder=MEDICAL/PG/DIPLOMA/DMRT
MEDICAL,PG,DIPLOMA,FOLDER,DO,http://www2.kuhs.ac.in/kuhs_new/index.php?id=14&folder=MEDICAL/PG/DIPLOMA/DO
MEDICAL,PG,DIPLOMA,FOLDER,DORTHO,http://www2.kuhs.ac.in/kuhs_new/index.php?id=14&folder=MEDICAL/PG/DIPLOMA/DORTHO
MEDICAL,PG,DIPLOMA,FOLDER,DPH,http://www2.kuhs.ac.in/kuhs_new/index.php?id=14&folder=MEDICAL/PG/DIPLOMA/DPH
MEDICAL,PG,DIPLOMA,FOLDER,DPM,http://www2.kuhs.ac.in/kuhs_new/index.php?id=14&folder=MEDICAL/PG/DIPLOMA/DPM
MEDICAL,PG,DIPLOMA,FOLDER,DPMR,http://www2.kuhs.ac.in/kuhs_new/index.php?id=14&folder=MEDICAL/PG/DIPLOMA/DPMR
MEDICAL,PG,DIPLOMA,FOLDER,DTCD,http://www2.kuhs.ac.in/kuhs_new/index.php?id=14&folder=MEDICAL/PG/DIPLOMA/DTCD
