Standard,Title,"Latest Update","Document Link","Extra Links"
ST.2,"Manner for designating calendar dates",May 1997,https://www.wipo.int/documents/d/standards/docs-en-03-02-01.pdf,
ST.3,"Two-letter codes for the representation of states, other entities and organizations","December 2025",https://www.wipo.int/documents/d/standards/docs-en-03-03-01.pdf,
ST.13,"Numbering of applications for IPRs",February 2008,https://www.wipo.int/documents/d/standards/docs-en-03-13-01.pdf,
ST.90,"Recommendation for processing and communicating Intellectual Property data using Web APIs (Application Programming Interfaces) (Version 2.0)","December 2025",https://www.wipo.int/documents/d/standards/docs-en-03-90-01.pdf,"Annex I => https://www.wipo.int/documents/d/standards/docs-en-03-90-01-annex-i-v2-0.xlsx | Annex III - Appendix A => https://www.wipo.int/standards/en/st90/annex-iii_appendix_a_V1_0.zip | Annex III - Appendix B => https://www.wipo.int/standards/en/st90/annex-iii_appendix_b_V1_0.zip"
ST.90,"Recommendation for processing and communicating Intellectual Property data using Web APIs (Application Programming Interfaces) (Version 1.1)","February 2023",https://www.wipo.int/documents/d/standards/docs-en-03-90-01-v1-1.pdf,"Annex III - Appendix A => https://www.wipo.int/standards/en/st90/annex-iii_appendix_a_V1_0.zip | Annex III - Appendix B => https://www.wipo.int/standards/en/st90/annex-iii_appendix_b_V1_0.zip"
ST.91,"Recommendations on digital three-dimensional (3D) models and 3D images","October 2024",https://www.wipo.int/documents/d/standards/docs-en-03-91-01.pdf,
ST.92,"Recommendations on the Data Package Format for the Electronic Exchange of Priority Documents","November 2025",https://www.wipo.int/documents/d/standards/docs-en-03-92-01.pdf,"Annex I => https://www.wipo.int/standards/XMLSchema/ST92/V2_0/ST92PDDPIndex_V2_0.zip | Annex I - Appendix A => https://www.wipo.int/standards/en/st92/st92-annex-i-appendix-a-v2-0.xml | Annex I - Appendix B => https://www.wipo.int/standards/en/st92/st92-annex-i-appendix-b-v2-0.xml | Annex I - Appendix C => https://www.wipo.int/standards/en/st92/st92-annex-i-appendix-c-v2-0.xml"
ST.96,"Processing of Intellectual Property information using XML","April 2026",https://www.wipo.int/documents/d/standards/docs-en-03-96-01.pdf,"Annexes => https://www.wipo.int/standards/en/st96/ | ST.96 XML Examples => https://www.wipo.int/standards/en/st96/examples/ST96_customizations.html"
ST.97,"Recommendation for Processing of Intellectual Property Data Using JSON","January 2023",https://www.wipo.int/documents/d/standards/docs-en-03-97-01.pdf,
ST.1,"Minimum data elements required to uniquely identify a patent document",May 2001,https://www.wipo.int/documents/d/standards/docs-en-03-01-01.pdf,
ST.6,"Numbering of published patent documents",December 2002,https://www.wipo.int/documents/d/standards/docs-en-03-06-01.pdf,
ST.8,"IPC symbols on machine-readable records",March 2011,https://www.wipo.int/documents/d/standards/docs-en-03-08-01.pdf,
ST.9,"Bibliographic data on and relating to patents and SPCs","October 2024",https://www.wipo.int/documents/d/standards/docs-en-03-09-01.pdf,
ST.10,"Published patent documents",November 1997,https://www.wipo.int/documents/d/standards/docs-en-03-10-00.pdf,
ST.10a,"Format of patent documents",April 1994,https://www.wipo.int/documents/d/standards/docs-en-03-10-a.pdf,
ST.10b,"Layout of bibliographic data components",December 2008,https://www.wipo.int/documents/d/standards/docs-en-03-10-b.pdf,
ST.10c,"Presentation of bibliographic data components",August 2017,https://www.wipo.int/documents/d/standards/docs-en-03-10-c.pdf,
ST.10d,"Physical characteristics of patent documents",October 2016,https://www.wipo.int/documents/d/standards/docs-en-03-10-d.pdf,
ST.11,"Minimum of indexes to be inserted in patent gazettes",December 1990,https://www.wipo.int/documents/d/standards/docs-en-03-11-01.pdf,
ST.12,"Preparation of abstracts of patent documents",April 1994,https://www.wipo.int/documents/d/standards/docs-en-03-12-00.pdf,
ST.12a,"Abstracts of patent documents",April 1994,https://www.wipo.int/documents/d/standards/docs-en-03-12-a.pdf,
ST.12b,"Categorized patent abstract",April 1994,https://www.wipo.int/documents/d/standards/docs-en-03-12-b.pdf,
ST.12c,"Physical characteristics of separately published abstracts",April 1994,https://www.wipo.int/documents/d/standards/docs-en-03-12-c.pdf,
ST.14,"References cited in patent documents",May 2016,https://www.wipo.int/documents/d/standards/docs-en-03-14-01.pdf,
ST.15,"Titles of inventions in patent documents",December 1995,https://www.wipo.int/documents/d/standards/docs-en-03-15-01.pdf,
ST.16,"Identification of different kinds of patent documents",October 2016,https://www.wipo.int/documents/d/standards/docs-en-03-16-01.pdf,
ST.17,"Coding of headings of announcements made in official gazettes",December 1990,https://www.wipo.int/documents/d/standards/docs-en-03-17-01.pdf,
ST.18,"Patent gazettes and other patent announcement journals",November 1997,https://www.wipo.int/documents/d/standards/docs-en-03-18-01.pdf,
ST.19,"Indexes issued by IPO",December 1990,https://www.wipo.int/documents/d/standards/docs-en-03-19-01.pdf,
ST.20,"Name indexes to patent documents",December 1993,https://www.wipo.int/documents/d/standards/docs-en-03-20-01.pdf,
ST.21,"Reduction of volume of priority documents",April 1994,https://www.wipo.int/documents/d/standards/docs-en-03-21-01.pdf,
ST.22,"Authoring of patent applications for the purpose of OCR",December 2008,https://www.wipo.int/documents/d/standards/docs-en-03-22-01.pdf,
ST.25,"Presentation of nucleotide and amino acid sequence listings",December 2009,https://www.wipo.int/documents/d/standards/docs-en-03-25-01.pdf,
ST.26,"Presentation of nucleotide and amino acid sequence listings using XML (version 2.0, enters into force on July 1, 2027)",November 2025,https://www.wipo.int/documents/d/standards/docs-en-03-26-01_v2_0.pdf,"Annex II => https://www.wipo.int/standards/dtd/ST26SequenceListing_V1_3.dtd | Annex III => https://www.wipo.int/standards/en/xml_material/st26/st26-annex-iii-sequence-listing-specimen_v2_0.xml | Annex VI - Appendix => https://www.wipo.int/standards/en/xml_material/st26/st26-annex-vi-appendix-guidance-document-sequences_v2_0.xml"
ST.26,"Presentation of nucleotide and amino acid sequence listings using XML (Version 1.7)","January 2024",https://www.wipo.int/documents/d/standards/docs-en-03-26-01.pdf,"Annex II => https://www.wipo.int/standards/dtd/ST26SequenceListing_V1_3.dtd | Annex III => https://www.wipo.int/standards/en/xml_material/st26/st26-annex-iii-sequence-listing-specimen.xml | Annex VI - Appendix => https://www.wipo.int/standards/en/xml_material/st26/st26-annex-vi-appendix-guidance-document-sequences_v1_7.xml"
ST.26,"Presentation of nucleotide and amino acid sequence listings using XML (Version 1.6)",June 2023,https://www.wipo.int/documents/d/standards/docs-en-03-26-01_v1_6.pdf,"Annex II => https://www.wipo.int/standards/dtd/ST26SequenceListing_V1_3.dtd | Annex III => https://www.wipo.int/standards/en/xml_material/st26/st26-annex-iii-sequence-listing-specimen.xml | Annex VI - Appendix => https://www.wipo.int/standards/en/xml_material/st26/st26-annex-vi-appendix-guidance-document-sequences_v1_6.xml"
ST.26,"Presentation of nucleotide and amino acid sequence listings using XML (Version 1.5)",November 2021,https://www.wipo.int/documents/d/standards/docs-en-03-26-01_v1_5.pdf,"Annex II => https://www.wipo.int/standards/dtd/ST26SequenceListing_V1_3.dtd | Annex III => https://www.wipo.int/standards/en/xml_material/st26/st26-annex-iii-sequence-listing-specimen.xml | Annex VI - Appendix => https://www.wipo.int/standards/en/xml_material/st26/st26-annex-vi-appendix-guidance-document-sequences.xml"
ST.27,"Exchange of Patent Legal Status Data","October 2024",https://www.wipo.int/documents/d/standards/docs-en-03-27-01.pdf,"Annex V => https://www.wipo.int/documents/d/standards/docs-en-03-27-01-annex-v.pdf | Annex VI => https://www.wipo.int/documents/d/standards/docs-en-03-27-01-annex-vi.pdf | Mapping tables of national/regional patent legal status events to ST.27 => https://www.wipo.int/en/web/standards/part_07#p7.13"
ST.31,"Character sets for the exchange of patent documents",October 1996,https://www.wipo.int/documents/d/standards/docs-en-03-31-01.pdf,
ST.32,"Markup of patent documents using SGML",November 1995,https://www.wipo.int/documents/d/standards/docs-en-03-32-01.pdf,
ST.33,"Data exchange of facsimile information of patent documents",February 1999,https://www.wipo.int/documents/d/standards/docs-en-03-33-01.pdf,
ST.34,"Recording of application numbers in electronic form","December 2008",https://www.wipo.int/documents/d/standards/docs-en-03-34-01.pdf,
ST.35,"Data exchange of mixed-mode published patent information on MMMT",December 1999,https://www.wipo.int/documents/d/standards/docs-en-03-35-01.pdf,
ST.36,"Processing of patent information using XML",November 2007,https://www.wipo.int/documents/d/standards/docs-en-03-36-01.pdf,"Supplementary material => https://www.wipo.int/standards/en/xml_material/st36/"
ST.37,"Authority File of Published Patent Documents (Version 3.0)",December 2025,https://www.wipo.int/documents/d/standards/docs-en-03-37-01.pdf,"Annex III => https://www.wipo.int/standards/XMLSchema/AFPatent/V3_0/ST37PatentAuthorityFile_V3_0.xsd | Annex III - Appendix => https://www.wipo.int/standards/en/st37/annexiii_appendix_V3_0.xml | Annex IV => https://www.wipo.int/standards/dtd/ST37PatentAuthorityFile_V3_0.dtd | Annex IV - Appendix => https://www.wipo.int/standards/en/st37/annexiv_appendix_V3_0.xml"
ST.37,"Authority File of Published Patent Documents (Version 2.2)","November 2021",https://www.wipo.int/documents/d/standards/docs-en-03-37-01_v2_2.pdf,"Annex III => https://www.wipo.int/standards/XMLSchema/AFPatent/V2_2/PatentAuthorityFile_V2_2.xsd | Annex III - Appendix => https://www.wipo.int/standards/en/st37/annexIII_appendix_V2_2.xml | Annex IV => https://www.wipo.int/standards/dtd/ST37AuthorityFile_V2-2.dtd | Annex IV - Appendix => https://www.wipo.int/standards/en/st37/annexiv_appendix_V2_2.xml"
ST.40,"Facsimile images of patent documents available on CD-ROM",April 1993,https://www.wipo.int/documents/d/standards/docs-en-03-40-01.pdf,
ST.50,"Corrections, alterations and supplements relating to patent information",December 2009,https://www.wipo.int/documents/d/standards/docs-en-03-50-01.pdf,
ST.60,"Bibliographic data relating to marks",December 2025,https://www.wipo.int/documents/d/standards/docs-en-03-60-01.pdf,
ST.61,"Recommendation for the exchange of trademark legal status data","October 2024",https://www.wipo.int/documents/d/standards/docs-en-03-61-01.pdf,"Mapping tables of national/regional trademark legal status events to ST.61 => https://www.wipo.int/en/web/standards/part_07#p7.13"
ST.62,"Standard abbreviation for “Vienna Classification”",December 1992,https://www.wipo.int/documents/d/standards/docs-en-03-62-01.pdf,
ST.63,"Content and layout of trademark gazettes",November 1997,https://www.wipo.int/documents/d/standards/docs-en-03-63-01.pdf,
ST.64,"Search files for trademark search",May 1996,https://www.wipo.int/documents/d/standards/docs-en-03-64-01.pdf,
ST.66,"Processing of trademark information using XML",March 2012,https://www.wipo.int/documents/d/standards/docs-en-03-66-01.pdf,"Appendices A, B, C, D and E => https://www.wipo.int/standards/en/xml_material/st66/"
ST.67,"Electronic management of the figurative elements of trademarks",July 2012,https://www.wipo.int/documents/d/standards/docs-en-03-67-01.pdf,
ST.68,"Electronic management of sound marks",June 2016,https://www.wipo.int/documents/d/standards/docs-en-03-68-01.pdf,
ST.69,"Electronic management of motion and multimedia marks",December 2020,https://www.wipo.int/documents/d/standards/docs-en-03-69-01.pdf,
ST.80,"Bibliographic data relating to industrial designs","November 2024",https://www.wipo.int/documents/d/standards/docs-en-03-80-01.pdf,
ST.81,"Content and layout of industrial designs gazettes",November 1997,https://www.wipo.int/documents/d/standards/docs-en-03-81-01.pdf,
ST.86,"Processing of industrial design information using XML",February 2008,https://www.wipo.int/documents/d/standards/docs-en-03-86-01.pdf,"Appendices A, B, C, D and E => https://www.wipo.int/standards/en/xml_material/st86/"
ST.87,"Exchange of industrial design legal status data","October 2024",https://www.wipo.int/documents/d/standards/docs-en-03-87-01.pdf,"Mapping tables of national/regional industrial design legal status events to ST.87 => https://www.wipo.int/en/web/standards/part_07#p7.13"
ST.88,"Electronic representation of industrial designs","December 2023",https://www.wipo.int/documents/d/standards/docs-en-03-88-01.pdf,
